id,nct_id,outcome_id,non_inferiority_type,non_inferiority_description,param_type,param_value,dispersion_type,dispersion_value,p_value_modifier,p_value,ci_n_sides,ci_percent,ci_lower_limit,ci_upper_limit,ci_upper_limit_na_comment,p_value_description,method,method_description,estimate_description,groups_description,other_analysis_description,ci_upper_limit_raw,ci_lower_limit_raw,p_value_raw
52589270,NCT03675308,103397180,SUPERIORITY,,LS Mean Difference,-0.09,,,,0.496,TWO_SIDED,95.0,-0.36,0.17,,All primary and ranked secondary efficacy endpoints were tested with multiplicity adjustment via a fixed sequence testing procedure to control the family-wise type I error rate at α=0.05 (two- sided).,ANCOVA,ANCOVA model including treatment and the stratification factors and baseline value as covariates.,Difference = Risankizumab - Placebo,,,0.17,-0.36,0.496
52589271,NCT03675308,103397181,OTHER,,LS Mean Difference,3.32,,,<,0.001,TWO_SIDED,95.0,2.42,4.22,,This comparison was not tested for statistical significance because the hierarchical testing procedures stopped at the change from Baseline in PsA-mTSS comparison.,Mixed Effect Model Repeated Measurement,"MMRM analysis including treatment, visit, treatment-by-visit interaction, and stratification factors as fixed factors and Baseline value as covariate.",Difference = Risankizumab - Placebo,,,4.22,2.42,<0.001
52469357,NCT02294734,103160556,SUPERIORITY_OR_OTHER_LEGACY,,Posterior Median Ratio,1.03,,,,61.27,TWO_SIDED,95.0,0.86,1.23,,The data entered for the p-value represents the posterior probability that the true treatment ratio is greater than 1. P-value is denoted in percentage.,Bayesian repeated measures model,"Non-informative priors used for all modelling parameters. Unstructured covariance matrix fitted, accounting for correlation within region and visit.",FRC; Scan Trimmed; Lobes; RLL; SCRD12. The data entered to the 95% confidence interval represents the 95% equi-tailed credible interval.,,,1.23,0.86,61.27
52589272,NCT03675308,103397182,OTHER,,LS Mean Difference,2.6,,,<,0.001,TWO_SIDED,95.0,1.5,3.7,,This comparison was not tested for statistical significance because the hierarchical testing procedures stopped at the change from Baseline in PsA-mTSS comparison.,Mixed Effect Model Repeated Measurement,"MMRM analysis including treatment, visit, treatment-by-visit interaction, and stratification factors as fixed factors and Baseline value as covariate.",Difference = Risankizumab - Placebo,,,3.7,1.5,<0.001
52589273,NCT03675308,103397183,SUPERIORITY,,Response Rate Difference,22.2,,,<,0.001,TWO_SIDED,95.0,17.3,27.2,,,Cochran-Mantel-Haenszel,"CMH test adjusted for the stratification factors of current csDMARD use, presence of dactylitis, enthesitis and extent of psoriasis at Baseline.",Response Rate Difference = Risankizumab - Placebo,,,27.2,17.3,<0.001
52589274,NCT03675308,103397184,SUPERIORITY,,Response Rate Difference,10.5,,,<,0.001,TWO_SIDED,95.0,6.9,14.2,,,Cochran-Mantel-Haenszel,"CMH test adjusted for the stratification factors of current csDMARD use, presence of dactylitis, enthesitis and extent of psoriasis at Baseline.",Response Rate Difference = Risankizumab - Placebo,,,14.2,6.9,<0.001
52589275,NCT00377312,103397253,NON_INFERIORITY_OR_EQUIVALENCE,"The study was designed as a standard dose-escalation study, dose-finding pilot study. The primary outcome measures were safety (hypercalcemia, hypophosphatemia and symptoms/hemodynamic measurements). A modified Fibronacci dose-escalation scheme was employed.",,,,,<,0.0001,TWO_SIDED,,,,,The reported p-value corresponds to the increase over time for the PTH 2 pmol group.,Mixed Models Analysis,The level of statistical significance was set at .05 (two-tailed),,,,,,<.0001
52469358,NCT02294734,103160556,SUPERIORITY_OR_OTHER_LEGACY,,Posterior Median Ratio,1.15,,,,96.63,TWO_SIDED,95.0,0.99,1.34,,The data entered for the p-value represents the posterior probability that the true treatment ratio is greater than 1. P-value is denoted in percentage.,Bayesian repeated measures model,"Non-informative priors used for all modelling parameters. Unstructured covariance matrix fitted, accounting for correlation within region and visit.No",FRC; Scan Trimmed; Lobes; RLL; SCRD28. The data entered to the 95% confidence interval represents the 95% equi-tailed credible interval.,,,1.34,0.99,96.63
52589276,NCT00377312,103397254,NON_INFERIORITY_OR_EQUIVALENCE,"The study was designed as a standard dose-escalation study, dose-finding pilot study. The primary outcome measures were safety (hypercalcemia, hypophosphatemia and symptoms/hemodynamic measurements). A modified Fibronacci dose-escalation scheme was employed.",,,,,<,0.0001,TWO_SIDED,,,,,The reported p-value corresponds to the increase over time for the PTH 2 pmol group.,Mixed Models Analysis,The level of statistical significance was set at .05 (two-tailed),,,,,,<.0001
52589277,NCT00377312,103397255,NON_INFERIORITY_OR_EQUIVALENCE,"The study was designed as a standard dose-escalation study, dose-finding pilot study. The primary outcome measures were safety (hypercalcemia, hypophosphatemia and symptoms/hemodynamic measurements). A modified Fibronacci dose-escalation scheme was employed.",,,,,>,0.05,TWO_SIDED,,,,,The reported p-value corresponds to change over time for the PTH 2 and PTH 4 pmol groups,Mixed Models Analysis,The level of statistical significance was set at .05 (two-tailed),,,,,,>0.05
52589278,NCT00377312,103397256,NON_INFERIORITY_OR_EQUIVALENCE,"The study was designed as a standard dose-escalation study, dose-finding pilot study. The primary outcome measures were safety (hypercalcemia, hypophosphatemia and symptoms/hemodynamic measurements). A modified Fibronacci dose-escalation scheme was employed.",,,,,,0.01,TWO_SIDED,,,,,The reported p-value corresponds to change over time for the PTH 2 and PTH 4 pmol groups,Mixed Models Analysis,The level of statistical significance was set at .05 (two-tailed),,,,,,.01
52589279,NCT00377312,103397257,NON_INFERIORITY_OR_EQUIVALENCE,"The study was designed as a standard dose-escalation study, dose-finding pilot study. The primary outcome measures were safety (hypercalcemia, hypophosphatemia and symptoms/hemodynamic measurements). A modified Fibronacci dose-escalation scheme was employed.",,,,,<,0.05,TWO_SIDED,,,,,the reported p-values correspond to the decrease compared to baseline in all arms/groups at Days 2-8,Mixed Models Analysis,The level of statistical significance was set at .05 (two-tailed),,,,,,<.05
52589280,NCT00377312,103397258,NON_INFERIORITY_OR_EQUIVALENCE,"The study was designed as a standard dose-escalation study, dose-finding pilot study. The primary outcome measures were safety (hypercalcemia, hypophosphatemia and symptoms/hemodynamic measurements). A modified Fibronacci dose-escalation scheme was employed.",,,,,,0.002,TWO_SIDED,,,,,the reported p-value corresponds to the increase compared to baseline over time (days 2-8) in the PTH 2 pmol group,Mixed Models Analysis,The level of statistical significance was set at .05 (two-tailed),,,,,,.002
52589281,NCT00377312,103397260,NON_INFERIORITY_OR_EQUIVALENCE,"The study was designed as a standard dose-escalation study, dose-finding pilot study. The primary outcome measures were safety (hypercalcemia, hypophosphatemia and symptoms/hemodynamic measurements). A modified Fibronacci dose-escalation scheme was employed.",,,,,,0.61,TWO_SIDED,,,,,The reported p-value corresponds to change over time for the PTH 2 and PTH 4 pmol groups,Mixed Models Analysis,The level of statistical significance was set at .05 (two-tailed),,,,,,.61
52589282,NCT00377312,103397261,NON_INFERIORITY_OR_EQUIVALENCE,"The study was designed as a standard dose-escalation study, dose-finding pilot study. The primary outcome measures were safety (hypercalcemia, hypophosphatemia and symptoms/hemodynamic measurements). A modified Fibronacci dose-escalation scheme was employed.",,,,,<,0.008,TWO_SIDED,,,,,The reported p-value corresponds to the % increase compared to baseline in all Arms/groups on Days 2-8,Mixed Models Analysis,The level of statistical significance was set at .05 (two-tailed),,,,,,<.008
52589283,NCT00377312,103397261,NON_INFERIORITY_OR_EQUIVALENCE,"The study was designed as a standard dose-escalation study, dose-finding pilot study. The primary outcome measures were safety (hypercalcemia, hypophosphatemia and symptoms/hemodynamic measurements). A modified Fibronacci dose-escalation scheme was employed.",,,,,>,0.05,TWO_SIDED,,,,,The reported p-value corresponds the the % change from baseline at follow-up in all Arms/groups,Mixed Models Analysis,The level of statistical significance was set at .05 (two-tailed),,,,,,>0.05
52589284,NCT00377312,103397262,NON_INFERIORITY_OR_EQUIVALENCE,"The study was designed as a standard dose-escalation study, dose-finding pilot study. The primary outcome measures were safety (hypercalcemia, hypophosphatemia and symptoms/hemodynamic measurements). A modified Fibronacci dose-escalation scheme was employed.",,,,,<,0.0001,TWO_SIDED,,,,,The reported p-value corresponds to % change (increase) from baseline in all Arms/groups at Days 2-8.,Mixed Models Analysis,The level of statistical significance was set at .05 (two-tailed),,,,,,<.0001
52648516,NCT01696396,103520991,SUPERIORITY,Analysis was not part of the formal testing,Odds Ratio (OR),1.09,,,,0.84,TWO_SIDED,90.0,0.52,2.29,,,"Regression, Logistic",Adjusted for baseline CDAI score and stratification factors.,An odds ratio \> 1.0 indicates a higher response rate for the abrilumab treatment group relative to placebo.,Comparisons between treatment groups were made using response rates estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).,,2.29,0.52,0.84
52648517,NCT01696396,103520991,SUPERIORITY,Analysis was not part of the formal testing,Difference in Adjusted Response Rates,1.9,,,,,TWO_SIDED,90.0,-15.2,15.2,,,,,,"The difference in response rates, estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).",,15.2,-15.2,
52708009,NCT03349060,103640365,SUPERIORITY,,Difference in LS mean,-22.0,,,<,0.0001,TWO_SIDED,95.0,-27.6,-16.5,,,Mixed Models Analysis,,,"Change at Week 12: MMRM contained fixed factors of treatment, week, treatment by week interaction, randomization strata (baseline disease severity and age category) and baseline value and used an unstructured covariance matrix.",,-16.5,-27.6,<0.0001
52708010,NCT03349060,103640366,SUPERIORITY,,Difference in Percentage,1.3,,,,0.521,TWO_SIDED,95.0,-3.4,6.0,,P-value was adjusted by randomization strata (baseline disease severity and age category).,Cochran-Mantel-Haenszel,,,Week 2: The estimate and CI for difference were calculated based on the weighted average of difference for each randomization stratum using the normal approximation of binomial proportions.,,6.0,-3.4,0.5210
52528815,NCT03760146,103259771,NON_INFERIORITY,Noninferiority for a serotype was declared if the lower bound of the 2-sided 95% CI for the GMR for that serotype was greater than 0.5 (2-fold criterion).,Ratio of GMTs,0.9,,,,,TWO_SIDED,95.0,0.69,1.17,,,,,,Serotype 22F: GMR (20vPnC Cohort 2 vs 20vPnC Cohort 1 60-64 years of age) and the 2-sided 95% CI,,1.17,0.69,
52589285,NCT00377312,103397262,NON_INFERIORITY_OR_EQUIVALENCE,"The study was designed as a standard dose-escalation study, dose-finding pilot study. The primary outcome measures were safety (hypercalcemia, hypophosphatemia and symptoms/hemodynamic measurements). A modified Fibronacci dose-escalation scheme was employed.",,,,,>,0.05,TWO_SIDED,,,,,The reported p-value corresponds the the % change from baseline at follow-up in all Arms/groups,Mixed Models Analysis,The level of statistical significance was set at .05 (two-tailed),,,,,,>0.05
52589286,NCT00377312,103397263,NON_INFERIORITY_OR_EQUIVALENCE,"The study was designed as a standard dose-escalation study, dose-finding pilot study. The primary outcome measures were safety (hypercalcemia, hypophosphatemia and symptoms/hemodynamic measurements). A modified Fibronacci dose-escalation scheme was employed.",,,,,<,0.0001,TWO_SIDED,,,,,the reported p-value corresponds to % decrease compared to baseline at Days 2-8 in all Arms/groups,Mixed Models Analysis,The level of statistical significance was set at .05 (two-tailed),,,,,,<.0001
52589287,NCT00377312,103397263,NON_INFERIORITY_OR_EQUIVALENCE,"The study was designed as a standard dose-escalation study, dose-finding pilot study. The primary outcome measures were safety (hypercalcemia, hypophosphatemia and symptoms/hemodynamic measurements). A modified Fibronacci dose-escalation scheme was employed.",,,,,,0.01,TWO_SIDED,,,,,the reported p-value corresponds to % change from baseline at the follow-up visit in all Arms/groups,Mixed Models Analysis,the reported p-value corresponds to % change from baseline at the follow-up visit in all Arms/groups,,,,,,.01
52648518,NCT01696396,103520991,SUPERIORITY,Analysis was not part of the formal testing,Odds Ratio (OR),1.15,,,,0.78,TWO_SIDED,90.0,0.49,2.72,,,"Regression, Logistic",Adjusted for baseline total CDAI score and stratification factors.,An odds ratio \> 1.0 indicates a higher response rate for the abrilumab treatment group relative to placebo.,Comparisons between treatment groups were made using response rates estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).,,2.72,0.49,0.78
52648519,NCT01696396,103520991,SUPERIORITY,Analysis was not part of the formal testing,Difference in Adjusted Response Rates,3.1,,,,,TWO_SIDED,90.0,-17.4,18.3,,,,,,"The difference in response rates, estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).",,18.3,-17.4,
52589288,NCT00377312,103397264,NON_INFERIORITY_OR_EQUIVALENCE,"The study was designed as a standard dose-escalation study, dose-finding pilot study. The primary outcome measures were safety (hypercalcemia, hypophosphatemia and symptoms/hemodynamic measurements). A modified Fibronacci dose-escalation scheme was employed.",,,,,>,0.05,TWO_SIDED,,,,,the reported p-value corresponds to % change compared to baseline at Days 2-8 in all Arms/groups,Mixed Models Analysis,The level of statistical significance was set at .05 (two-tailed),,,,,,>.05
52589289,NCT00352053,103397265,SUPERIORITY_OR_OTHER,,,,,,,0.55,,95.0,,,,No adjustments for multiple comparisons were made.,Van Elteren test,P-value is from a Van Elteren test stratified by baseline genotypic sensitivity score (GSS) (without tenofovir DF) \<= or \> median (median GSS is 2).,,Null hypothesis: Time-weighted average changes from baseline through Week 24 in plasma HIV-1 RNA for the tenofovir DF and placebo groups are equal. Alternative hypothesis: Time-weighted average changes from baseline through Week 24 in plasma HIV-1 RNA for the tenofovir DF and placebo groups are different (two-sided).,,,,0.55
52589290,NCT00352053,103397266,SUPERIORITY_OR_OTHER,,,,,,,0.4,,95.0,,,,No adjustments for multiple comparisons were made.,Van Elteren test,P-value is from a Van Elteren test stratified by baseline GSS (without tenofovir DF) \<= or \> median (median GSS is 2).,,Null hypothesis: Time-weighted average changes from baseline through Week 48 in plasma HIV-1 RNA for the tenofovir DF and placebo groups are equal. Alternative hypothesis: Time-weighted average changes from baseline through Week 48 in plasma HIV-1 RNA for the tenofovir DF and placebo groups are different (two-sided).,,,,0.40
52589291,NCT00352053,103397267,SUPERIORITY_OR_OTHER,,,,,,,0.58,,95.0,,,,No adjustments for multiple comparisons were made.,Van Elteren test,P-value is from a Van Elteren test stratified by baseline GSS (without tenofovir DF) \<= or \> median (median GSS is 2).,,Null hypothesis: Changes from baseline through Week 24 in plasma HIV-1 RNA for the tenofovir DF and placebo groups are equal. Alternative hypothesis: Changes from baseline through Week 24 in plasma HIV-1 RNA for the tenofovir DF and placebo groups are different (two-sided).,,,,0.58
52589292,NCT00352053,103397268,SUPERIORITY_OR_OTHER,,,,,,,0.37,,95.0,,,,No adjustments for multiple comparisons were made.,Van Elteren test,P-value is from a Van Elteren test stratified by baseline GSS (without tenofovir DF) \<= or \> median (median GSS is 2).,,Null hypothesis: Changes from baseline through Week 48 in plasma HIV-1 RNA for the tenofovir DF and placebo groups are equal. Alternative hypothesis: Changes from baseline through Week 48 in plasma HIV-1 RNA for the tenofovir DF and placebo groups are different (two-sided).,,,,0.37
52589293,NCT00352053,103397275,SUPERIORITY_OR_OTHER,,,,,,,0.71,,95.0,,,,No adjustments for multiple comparisons were made.,Van Elteren test,P-value is from a Van Elteren test stratified by baseline GSS (without tenofovir DF) \<= or \> median (median GSS is 2).,,Null hypothesis: Changes from baseline through Week 24 in plasma CD4 count for the tenofovir DF and placebo groups are equal. Alternative hypothesis: Changes from baseline through Week 24 in CD4 count for the tenofovir DF and placebo groups are different (two-sided).,,,,0.71
52648520,NCT01696396,103520992,SUPERIORITY,,Odds Ratio (OR),1.65,,,,0.34,TWO_SIDED,90.0,0.69,3.91,,,"Regression, Logistic",Adjusted for baseline CDAI score and stratification factors.,An odds ratio \> 1.0 indicates a higher sustained remission rate for the abrilumab treatment group relative to placebo.,Comparisons between treatment groups were made using sustained remission rates estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).,,3.91,0.69,0.34
52648521,NCT01696396,103520992,SUPERIORITY,,Difference in Adjusted Remission Rates,5.0,,,,,TWO_SIDED,90.0,-3.9,11.7,,,,,,"The difference in sustained remission rates, estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).",,11.7,-3.9,
52708011,NCT03349060,103640366,SUPERIORITY,,Difference in Percentage,4.0,,,,0.1416,TWO_SIDED,95.0,-1.3,9.3,,P-value was adjusted by randomization strata (baseline disease severity and age category).,Cochran-Mantel-Haenszel,,,Week 2: The estimate and CI for difference were calculated based on the weighted average of difference for each randomization stratum using the normal approximation of binomial proportions.,,9.3,-1.3,0.1416
52589294,NCT00352053,103397276,SUPERIORITY_OR_OTHER,,,,,,,0.47,,95.0,,,,No adjustments for multiple comparisons were made.,Van Elteren test,P-value is from a Van Elteren test stratified by baseline GSS (without tenofovir DF) \<= or \> median (median GSS is 2).,,Null hypothesis: Changes from baseline through Week 48 in plasma CD4 count for the tenofovir DF and placebo groups are equal. Alternative hypothesis: Changes from baseline through Week 48 in CD4 count for the tenofovir DF and placebo groups are different (two-sided).,,,,0.47
52589295,NCT00352053,103397283,SUPERIORITY_OR_OTHER,,,,,,,0.26,,95.0,,,,No adjustments for multiple comparisons were made.,Van Elteren test,P-value is from a Van Elteren test stratified by baseline GSS (without tenofovir DF) \<= or \> median (median GSS is 2).,,Null hypothesis: Changes from baseline through Week 24 in plasma CD4% for the tenofovir DF and placebo groups are equal. Alternative hypothesis: Changes from baseline through Week 24 in CD4% for the tenofovir DF and placebo groups are different (two-sided).,,,,0.26
52589296,NCT00352053,103397284,SUPERIORITY_OR_OTHER,,,,,,,0.63,,95.0,,,,No adjustments for multiple comparisons were made.,Van Elteren test,P-value is from a Van Elteren test stratified by baseline GSS (without tenofovir DF) \<= or \> median (median GSS is 2).,,Null hypothesis: Changes from baseline through Week 48 in plasma CD4% for the tenofovir DF and placebo groups are equal. Alternative hypothesis: Changes from baseline through Week 48 in CD4% for the tenofovir DF and placebo groups are different (two-sided).,,,,0.63
52648522,NCT01696396,103520992,SUPERIORITY,Analysis was not part of the formal testing,Odds Ratio (OR),2.82,,,,0.078,TWO_SIDED,90.0,1.07,7.41,,,"Regression, Logistic",Adjusted for baseline CDAI score and stratification factors.,An odds ratio \> 1.0 indicates a higher sustained remission rate for the abrilumab treatment group relative to placebo.,Comparisons between treatment groups were made using sustained remission rates estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).,,7.41,1.07,0.078
52648523,NCT01696396,103520992,SUPERIORITY,Analysis was not part of the formal testing,Difference in Adjusted Remission Rates,12.8,,,,,TWO_SIDED,90.0,-0.6,22.6,,,,,,"The difference in sustained remission rates, estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).",,22.6,-0.6,
52648524,NCT01696396,103520992,SUPERIORITY,Analysis was not part of the formal testing,Odds Ratio (OR),3.37,,,,0.083,TWO_SIDED,90.0,1.07,10.66,,,"Regression, Logistic",Adjusted for baseline total CDAI score and stratification factors.,An odds ratio \> 1.0 indicates a higher sustained remission rate for the abrilumab treatment group relative to placebo.,Comparisons between treatment groups were made using sustained remission rates estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).,,10.66,1.07,0.083
52648525,NCT01696396,103520992,SUPERIORITY,Analysis was not part of the formal testing,Difference in Adjusted Remission Rates,16.0,,,,,TWO_SIDED,90.0,-1.2,28.3,,,,,,"The difference in sustained remission rates, estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).",,28.3,-1.2,
52648526,NCT01696396,103520993,SUPERIORITY,,Odds Ratio (OR),1.52,,,,0.47,TWO_SIDED,90.0,0.59,3.93,,,"Regression, Logistic",Adjusted for baseline CDAI score and stratification factors.,An odds ratio \> 1.0 indicates a higher sustained remission rate for the abrilumab treatment group relative to placebo.,Comparisons between treatment groups were made using sustained remission rates estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).,,3.93,0.59,0.47
52648527,NCT01696396,103520993,SUPERIORITY,,Difference in Adjusted Remission Rates,2.8,,,,,TWO_SIDED,90.0,-4.7,8.1,,,,,,"The difference in sustained remission rates, estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).",,8.1,-4.7,
52648528,NCT01696396,103520993,SUPERIORITY,Analysis was not part of the formal testing,Odds Ratio (OR),2.32,,,,0.21,TWO_SIDED,90.0,0.77,6.98,,,"Regression, Logistic",Adjusted for baseline CDAI score and stratification factors.,An odds ratio \> 1.0 indicates a higher sustained remission rate for the abrilumab treatment group relative to placebo.,Comparisons between treatment groups were made using sustained remission rates estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).,,6.98,0.77,0.21
52648529,NCT01696396,103520993,SUPERIORITY,Analysis was not part of the formal testing,Difference in Adjusted Remission Rates,6.8,,,,,TWO_SIDED,90.0,-4.3,14.5,,,,,,"The difference in sustained remission rates, estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).",,14.5,-4.3,
52708012,NCT03349060,103640366,SUPERIORITY,,Difference in Percentage,4.6,,,,0.2002,TWO_SIDED,95.0,-2.1,11.2,,P-value was adjusted by randomization strata (baseline disease severity and age category).,Cochran-Mantel-Haenszel,,,Week 4: The estimate and CI for difference were calculated based on the weighted average of difference for each randomization stratum using the normal approximation of binomial proportions.,,11.2,-2.1,0.2002
52528816,NCT03760146,103259771,NON_INFERIORITY,Noninferiority for a serotype was declared if the lower bound of the 2-sided 95% CI for the GMR for that serotype was greater than 0.5 (2-fold criterion).,Ratio of GMTs,1.02,,,,,TWO_SIDED,95.0,0.81,1.3,,,,,,Serotype 33F: GMR (20vPnC Cohort 2 vs 20vPnC Cohort 1 60-64 years of age) and the 2-sided 95% CI,,1.30,0.81,
52600463,NCT04546425,103420128,NON_INFERIORITY,"For the additional 7 serotypes, the compared results are from serotype 23F(13vPnC serotype with the lowest percentage, not including serotype 3) in the 13vPnC group.",Percent difference,0.6,,,,,TWO_SIDED,95.0,-1.5,2.7,,,,,2-Sided 95% CI based on the Miettinen and Nurminen method for the difference in proportions expressed as a percentage.,Serotype 10A,,2.7,-1.5,
52648530,NCT01696396,103520993,SUPERIORITY,Analysis was not part of the formal testing,Odds Ratio (OR),2.66,,,,0.21,TWO_SIDED,90.0,0.75,9.45,,,"Regression, Logistic",Adjusted for baseline total CDAI score and stratification factors.,An odds ratio \> 1.0 indicates a higher sustained remission rate for the abrilumab treatment group relative to placebo.,Comparisons between treatment groups were made using sustained remission rates estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).,,9.45,0.75,0.21
52648531,NCT01696396,103520993,SUPERIORITY,Analysis was not part of the formal testing,Difference in Adjusted Remission Rates,8.4,,,,,TWO_SIDED,90.0,-6.0,17.9,,,,,,"The difference in sustained remission rates, estimated from a logistic regression model adjusted for baseline CDAI score and stratification factors (prior vs no prior TNF antagonist use and enrollment pre- vs post-protocol amendment).",,17.9,-6.0,
52648532,NCT01696396,103520994,SUPERIORITY,,LS Mean Treatment Difference,-42.09,,,,0.006,TWO_SIDED,90.0,-67.3,-16.9,,,IPW GEE Model,"Adjusted for prior anti-TNF use, pre-versus post-protocol amendment 3 and baseline CDAI score.",,"Comparisons between treatment arms was conducted using an inverse probability weighting (IPW) generalized estimating equations (GEE) model adjusted for prior anti-TNF use, pre-versus post-protocol amendment 3 and baseline CDAI score.",,-16.9,-67.3,0.006
52648533,NCT01696396,103520994,SUPERIORITY,Analysis was not part of the formal testing,LS Mean Treatment Difference,-40.79,,,,0.095,TWO_SIDED,90.0,-81.5,-0.5,,,IPW GEE Model,"Adjusted for prior anti-TNF use, pre-versus post-protocol amendment 3 and baseline CDAI score.",,"Comparisons between treatment arms was conducted using an inverse probability weighting (IPW) generalized estimating equations (GEE) model adjusted for prior anti-TNF use, pre-versus post-protocol amendment 3 and baseline CDAI score.",,-0.5,-81.5,0.095
52648534,NCT01696396,103520994,SUPERIORITY,Analysis was not part of the formal testing,LS Mean Treatment Difference,-36.84,,,,0.11,TWO_SIDED,90.0,-74.3,0.7,,,IPW GEE Model,"Adjusted for prior anti-TNF use, pre-versus post-protocol amendment 3 and baseline CDAI score.",,"Comparisons between treatment arms was conducted using an inverse probability weighting (IPW) generalized estimating equations (GEE) model adjusted for prior anti-TNF use, pre-versus post-protocol amendment 3 and baseline CDAI score.",,0.7,-74.3,0.11
52648535,NCT01696396,103520995,SUPERIORITY,,LS Mean Treatment Difference,-27.47,,,,0.045,TWO_SIDED,90.0,-50.0,-4.9,,,IPW GEE Model,"Adjusted for prior anti-TNF use, pre-versus post-protocol amendment 3 and baseline CDAI score.",,"Comparisons between treatment arms was conducted using an inverse probability weighting (IPW) generalized estimating equations (GEE) model adjusted for prior anti-TNF use, pre-versus post-protocol amendment 3 and baseline CDAI score.",,-4.9,-50.0,0.045
52648536,NCT01696396,103520995,SUPERIORITY,Analysis was not part of the formal testing,LS Mean Treatment Difference,-23.59,,,,0.27,TWO_SIDED,90.0,-58.7,11.5,,,IPW GEE Model,"Adjusted for prior anti-TNF use, pre-versus post-protocol amendment 3 and baseline CDAI score.",,"Comparisons between treatment arms was conducted using an inverse probability weighting (IPW) generalized estimating equations (GEE) model adjusted for prior anti-TNF use, pre-versus post-protocol amendment 3 and baseline CDAI score.",,11.5,-58.7,0.27
52648537,NCT01696396,103520995,SUPERIORITY,Analysis was not part of the formal testing,LS Mean Treatment Difference,-16.37,,,,0.45,TWO_SIDED,90.0,-51.8,19.1,,,IPW GEE Model,"Adjusted for prior anti-TNF use, pre-versus post-protocol amendment 3 and baseline CDAI score.",,"Comparisons between treatment arms was conducted using an inverse probability weighting (IPW) generalized estimating equations (GEE) model adjusted for prior anti-TNF use, pre-versus post-protocol amendment 3 and baseline CDAI score.",,19.1,-51.8,0.45
52648538,NCT02712008,103521002,SUPERIORITY,Analysis was performed using analysis of covariance (ANCOVA) model with baseline measurement as a covariate and treatment group as fixed factors.,Least square mean difference,-2.09,,,,0.1368,TWO_SIDED,95.0,,0.67,,Threshold for significance at 0.05 level.,ANCOVA,,,,,0.67,- 4.84,0.1368
52648539,NCT02712008,103521002,SUPERIORITY,,Least square mean difference,0.04,,,,0.9716,TWO_SIDED,95.0,,2.18,,Threshold for significance at 0.05 level.,ANCOVA,,,Analysis was performed using analysis of covariance (ANCOVA) model with baseline measurement as a covariate and treatment group as fixed factors.,,2.18,- 2.10,0.9716
52708013,NCT03349060,103640366,SUPERIORITY,,Difference in Percentage,23.6,,,<,0.0001,TWO_SIDED,95.0,15.1,32.2,,P-value was adjusted by randomization strata (baseline disease severity and age category).,Cochran-Mantel-Haenszel,,,Week 4: The estimate and CI for difference were calculated based on the weighted average of difference for each randomization stratum using the normal approximation of binomial proportions.,,32.2,15.1,<0.0001
52708014,NCT03349060,103640366,SUPERIORITY,,Difference in Percentage,9.6,,,,0.0434,TWO_SIDED,95.0,1.3,17.9,,P-value was adjusted by randomization strata (baseline disease severity and age category).,Cochran-Mantel-Haenszel,,,Week 8: The estimate and CI for difference were calculated based on the weighted average of difference for each randomization stratum using the normal approximation of binomial proportions.,,17.9,1.3,0.0434
52708015,NCT03349060,103640366,SUPERIORITY,,Difference in Percentage,26.6,,,<,0.0001,TWO_SIDED,95.0,17.1,36.2,,P-value was adjusted by randomization strata (baseline disease severity and age category).,Cochran-Mantel-Haenszel,,,Week 8: The estimate and CI for difference were calculated based on the weighted average of difference for each randomization stratum using the normal approximation of binomial proportions.,,36.2,17.1,<0.0001
